05YA3;111904;111904;UNIVERSO PET;UNIVERSO PET COMERCIO DE PRODUTOS E SERVICOS (BELEM/PA);2,24584E+13;"01;02;03;04;05;06;07"
06B9C;111904;111904;UNIVERSO PET;UNIVERSO PET COMER DE PRODUTOS E SERV VET S/A (BRASILIA/DF);2,24584E+13;"05;06;07"
06B9F;111904;111904;UNIVERSO PET;UNIVERSO PET COMER DE PRODUTOS E SERV VET S/A (GOIANIA/GO);2,24584E+13;"05;06;07"
06B9H;111904;111904;UNIVERSO PET;UNIVERSO PET COMER DE PRODUTOS E SERV VET S/A (FORTALEZA/CE);2,24584E+13;"03;04;05;06;07"
04VFK;930927;930927;ELLCA;ELLCA 2 SERVIÇOS & LOCAÇOES LTDA ;2,02936E+13;"01;02;03;04;05;06;07"
069YN;179896;179896;EFICAZ;EFICAZ ENERGIA E SERVICOS LTDA;1,6431E+12;"01;02;03;04;05;06;07"
B3965;751856;751856;CRECHE ESCOLA;ESCOLA ESPACO INTELIGENTE LTDA  EPP;1,27038E+13;"03;04;05;06;07"
B3964;751856;751856;CRECHE ESCOLA;EDUCACAO INFANTIL ESPACO INTELIGENTE LTDA;2,25196E+13;"03;04;05;06;07"
12438;751856;751856;CRECHE ESCOLA;CRECHE ESCOLA ESPACO INTELIGENTE;7,32788E+12;"03;04;05;06;07"
06B1D;429311;429311;CRECHE ESCOLA;CRECHE ESCOLA ESPACO INTELIGENTE;7,32788E+12;"02;03;04;05;06;07"
06B1J;429311;429311;CRECHE ESCOLA;EDUCACAO INFANTIL ESPACO INTELIGENTE LTDA;2,25196E+13;"02;03;04;05;06;07"
06B1K;429311;429311;CRECHE ESCOLA;ESCOLA ESPACO INTELIGENTE LTDA;1,27038E+13;"02;03;04;05;06;07"
06B1L;429311;429311;CRECHE ESCOLA;CENTRO EDUCACIONAL ESPACO INTELIGENTE EIRELI;3,04685E+13;"02;03;04;05;06;07"
2682;965039;965039;SUPER LAGOA;MWN COMERCIAL DE ALIMENTOS LTDA;4,60117E+12;"01;02;03;04;05;06;07"
